
[length]	[occurances]	[englishSpeechRatio]	[isEnglish]	[fullURL]
5268	290	0.055049354593773726	true	https://steemit.com/music/@adriansilas/a-piece-of-the-pie
5989	213	0.03556520287193188	true	https://steemit.com/bitcoin/@somnathbaksi/13-interesting-things-about-the-bitcoin-that-tells-you-hardly
5434	181	0.0333087964666912	true	https://steemit.com/acute/@royalnavneet/after-blockshow-how-achain-s-fork-theory-has-worked-in-real-life
16226	780	0.048070997165043754	true	https://steemit.com/plumbing/@roudyna/practical-plumbing
8056	263	0.03264647467725919	true	https://steemit.com/story/@roman-dp/the-art-of-making-the-japanese-katana-sword
5433	205	0.03773237621939996	true	https://steemit.com/life/@haseebkhan13/fashion-designers-won-t-dress-these-celeb-women-because-body-shaming-classism-and-racism-are-real
10006	486	0.0485708574855087	true	https://steemit.com/personal-development/@wouthermans/how-the-people-around-us-shape-who-we-are
7528	19	0.0025239107332624866	false	https://steemit.com/turismo/@arthurjariel/visitar-en-republica-dominicana
7261	333	0.04586145159068999	true	https://steemit.com/rehab/@rionpistorius/tales-from-rehab
5496	194	0.03529839883551674	true	https://steemit.com/denmark/@aandy/the-country-in-the-north-part-1
12375	430	0.03474747474747475	true	https://steemit.com/travel/@citypass/vienna-city-of-music
9219	477	0.05174096973641393	true	https://steemit.com/some/@maadi/some-data-about-my-interest-and-my-stance-on-flags
17352	845	0.048697556477639466	true	https://steemit.com/stories/@chimezieihekuna/the-love-of-money
5015	220	0.04386839481555334	true	https://steemit.com/technology/@techlife/which-signs-indicate-that-you-were-hacked
5457	231	0.04233095107201759	true	https://steemit.com/crypto/@awaldstein/can-we-tokenize-behavior
6383	0	0	false	https://steemit.com/stop/@khaliel/color-challenge-wenesday-stop-child-abuse-in-any-form-20171227t2128167z
5636	24	0.0042583392476933995	false	https://steemit.com/steem/@rstracer/last-hour-price-changes-steem-124-btc-046-eth-002-xrp310-bch-004-ltc-023-miota-166-ada030-dash-039-1514385041
10311	466	0.045194452526428085	true	https://steemit.com/history/@ul1yck1t/great-lifes-tadeusz-kosciuszko-hero-of-two-continents-and-purest-son-of-liberty
5724	151	0.026380153738644305	false	https://steemit.com/steamify/@menmig24/acelere-las-transacciones-de-bitcoin-sin-confirmar-accelerate-bitcoin-transactions-without-confirm
5127	0	0	false	https://steemit.com/e-chat/@capitanike/o-funkcii-ploshadki-e-chat
7115	3	0.00042164441321152494	false	https://steemit.com/rlc/@jkarim/iexec-rlc
8826	52	0.005891683661907999	false	https://steemit.com/spanish/@lacongeladora/columna-fantasma-regalo-de-navidad-para-emilio-y-la-invasion-mexicana-en-espana
12648	461	0.036448450347881085	true	https://steemit.com/btcx/@dervishdoff/what-is-btcx-you-have-to-know
5344	1	0.00018712574850299402	false	https://steemit.com/e-chat/@capitanike/privilegii-e-chat-kotorye-vydelyayut-etot-proekt-sredi-konkurentov
5084	213	0.04189614476789929	true	https://steemit.com/philosophy/@nyetto/what-is-behind-trump-and-brexit-populism-has-populism-ruined-the-world
5966	280	0.04693261816962789	true	https://steemit.com/money/@mehdielattar2012/beluga-pay-mobile-point-of-sale-for-entrepreneurs
12365	2	0.00016174686615446826	false	https://steemit.com/rlc/@jkarim/iexec
11231	143	0.012732615083251714	false	https://steemit.com/blog/@wameed/are-we-lost-multilanguages-part1
5511	187	0.033932135728542916	true	https://steemit.com/top/@savemax/gravitational-waves-gene-editing-and-other-top-science-stories-of-2017
5296	43	0.008119335347432024	false	https://steemit.com/embarazo/@danielbermu24/ya-viene-en-camino-que-noticia
5826	283	0.04857535187092345	true	https://steemit.com/kosovo/@wizardofwhere/my-trip-to-prizren
23845	913	0.03828894946529671	true	https://steemit.com/history/@fairly/history-of-the-computer-or-5000-words-or-full-information
8432	193	0.02288899430740038	false	https://steemit.com/money/@megan.brown/asic-bitcoin-unit-currency-peer-peer-cryptographic-hash-function-wire-transfer-dao-sha-256-bitcoin-1514388601
5220	225	0.04310344827586207	true	https://steemit.com/business/@dijiang/nick-leeson-and-barings-bank-s-demise-part-2
5100	147	0.028823529411764706	false	https://steemit.com/an/@foudmf103/an-article-about-life-mqal-an-alhyah
6077	229	0.03768306730294553	true	https://steemit.com/bitcoin/@cryptopandit/how-does-bitcoin-works
7495	278	0.037091394262841894	true	https://steemit.com/bitcoin/@greatestman/bitcoin-the-blockchain-and-gold-replaces-the-banks-realists-guide-to-the-future
6818	272	0.0398943971839249	true	https://steemit.com/cryptocurrency/@allmerited/bitcoin-3-things-to-know-before-you-invest
5837	162	0.027753983210553366	false	https://steemit.com/life/@foudmf103/how-to-be-a-good-discussion-kyf-tkwn-mnaqshaan-jydaan
5679	249	0.04384574749075541	true	https://steemit.com/earning/@usmanktk/5-easy-ways-to-earn-money-online
5964	0	0	false	https://steemit.com/benebit/@margo123/benebit-pervaya-klientskaya-loyalnost-i-platforma-obratnoi-svyazi
10617	379	0.03569746632758783	true	https://steemit.com/anime/@ronspauly/top-10-upcoming-animes-of-2018
7706	192	0.024915650142745913	false	https://steemit.com/trliste/@nesibe.yildiz/on-the-road-again-ness-in-cologne-germany-article-in-english-and-turkish
11030	416	0.03771532184950136	true	https://steemit.com/travel/@ibnuhajar/sabang-island-tourism-weh-route-tourist-attraction-and-lodging
5627	0	0	false	https://steemit.com/e-chat/@capitanike/kak-servis-e-chat-podderzhivaet-tolko-kachestvennyi-kontent
5651	140	0.024774376216598833	false	https://steemit.com/crypterium/@loc/crypterium-the-jp-morgan-of-cryptobanks
6652	195	0.02931449188214071	false	https://steemit.com/life/@foudmf103/how-to-drive-a-car-kyfyh-qyadh-alsyarh
7645	329	0.04303466317854807	true	https://steemit.com/money/@cryptopandit/history-of-money-from-barter-to-cryptocurrencies
5184	217	0.041859567901234566	true	https://steemit.com/facebookverification/@azeemahmad/just-for-information-how-to-verify-a-page-or-profile-on-facebook-blue-and-grey-badge-2017
5361	169	0.031523969408692405	true	https://steemit.com/life/@foudmf103/methods-of-persuasion-asalyb-aliqnaa
6339	294	0.04637955513487932	true	https://steemit.com/bitcoin/@doclover/personal-chaincoin-journey
6548	188	0.028711056811240074	false	https://steemit.com/life/@foudmf103/how-do-i-know-that-the-perfume-is-original-kyf-aarf-an-alatr-asly
5232	153	0.029243119266055047	false	https://steemit.com/love/@foudmf103/how-to-make-you-happy-kyf-tsad-mn-thb
13447	306	0.022756005056890013	false	https://steemit.com/travel/@mrtz/latin-america-travels-part-1
6188	334	0.05397543632837751	true	https://steemit.com/justin/@lookyou/song-love-yourself-album-purpose-love-yourself
7332	276	0.03764320785597381	true	https://steemit.com/sieemma/@fayamba/hdac-all-you-need-to-know
6891	268	0.038891307502539545	true	https://steemit.com/bitcoin/@techwar/hitbtc-com-advanced-bitcoin-exchange
6710	272	0.04053651266766021	true	https://steemit.com/cryptocurrency/@hustav/warning-cryptomania
7136	252	0.03531390134529148	true	https://steemit.com/science/@ibnuhajar/historical-place-in-sabang-island
11781	476	0.04040404040404041	true	https://steemit.com/crypto/@techwar/why-crypto-looks-a-lot-like-wall-street
8185	396	0.0483811850946854	true	https://steemit.com/depression/@collete/you-are-precious
6156	243	0.039473684210526314	true	https://steemit.com/travel/@justbazta/an-unforgettable-christmas-in-the-heart-of-a-rainforest
5739	285	0.04966021955044433	true	https://steemit.com/motivational/@damdap/the-mountain-challenge
11185	663	0.059275815824765314	true	https://steemit.com/bipolar/@wescall/talking-about-my-bipolar
5153	185	0.03590141665049486	true	https://steemit.com/writing/@alerobot/techniques-writing-articles-ef042003ce061
9924	288	0.02902055622732769	false	https://steemit.com/bitcon/@abdo.fakir/moving-sideways-over-the-holidays-after-the-big-dip-fb999d381cfe2
7702	289	0.037522721371072446	true	https://steemit.com/cryptocurrency/@thebeetoken/the-bee-token-pre-sale-and-tge-faq-s
5366	146	0.02720834886321282	false	https://steemit.com/expression/@foudmf103/expression-of-the-beauty-of-nature-tabyr-an-jmal-altbyah
5109	118	0.023096496378939128	false	https://steemit.com/search/@foudmf103/search-for-nature-reserves-bhth-an-almhmyat-altbyayh
8399	276	0.032861054887486606	true	https://steemit.com/handphone/@haikal06/the-development-of-mobile-from-time-to-time
5740	144	0.025087108013937282	false	https://steemit.com/stories/@foudmf103/stories-beyond-nature-qss-ma-wraa-altbyah
5630	242	0.04298401420959148	true	https://steemit.com/diamond/@love4aviation/diamond-aircraft-ownership-shifts-from-europe-to-asia
20053	955	0.047623796938114	true	https://steemit.com/ebay/@ceymixx/buying-websites-on-ebay
6204	181	0.029174725983236623	false	https://steemit.com/trade/@margo123/trade-io-trade-revolution
19532	648	0.03317632602908048	true	https://steemit.com/earthing/@spacebiota/earthing-awareness
